,org_1,org_2,org_3,org_4,org_5,org_6,org_7,org_8,org_9,org_10,org_11,org_12,org_13,org_14,org_15
day1,0.629438531145516,0.5385545049430852,0.4454438999931838,0.7388099196596165,0.776845409692009,0.8445084330829324,0.7521771050933368,0.496297166588778,0.149007211038194,0.9174127435925238,0.8358676392008005,0.530320978646423,0.4669864819108062,0.5008120179760007,0.5560411261576814
day2,0.6328405644035753,0.5249877282058174,0.4501165102832787,0.7400679250698443,0.771689829780986,0.8334543353290935,0.7502355659909073,0.4936413729562142,0.1527835976386133,0.9036425422037376,0.814073017631071,0.5353480729209942,0.4627885828622419,0.5027203229003702,0.5716478345250238
day3,0.6289818722801905,0.5150329832402728,0.4405543647275456,0.7297207209323076,0.7839302334964133,0.8431072220475007,0.7323913974824156,0.4855107473495958,0.1614025871690918,0.9107747439507586,0.8240902806343641,0.5267672957893641,0.4778971867282838,0.5210211903222939,0.5447165114823316
day4,0.635359747207908,0.5254541680036263,0.4495429847887275,0.7255477670926256,0.7756765845589165,0.8322264362888456,0.743948069273541,0.4737077521045956,0.1472929625085062,0.8896109697756979,0.8114802199868917,0.524995357569165,0.4520090149760238,0.4935039433935555,0.5136964928368177
day5,0.5892375131328085,0.4825296446983312,0.4328229532296156,0.6638156536373618,0.7145480378084091,0.7680558110426845,0.7016364087083251,0.4626369889341548,0.1411982290204638,0.8461669372059243,0.741896020997468,0.4800842567907678,0.4292670777805699,0.4649613912913651,0.4745605246953067
day6,0.6019335894114728,0.4956291806402088,0.4307468663493707,0.6920007693790822,0.7273084513320154,0.8061253387961858,0.7078381075026088,0.4476088860473975,0.1440391366346959,0.8793233368280747,0.7893366113477079,0.4928604073515912,0.4377548148590389,0.4973866612929873,0.4860291685631769
day7,0.6322272550560153,0.5282835793545888,0.4528269591033343,0.7069586249463764,0.7452988554748279,0.8508857440362263,0.7129907828345396,0.455080410172825,0.1444465050000036,0.8812527689516542,0.8110368667996751,0.5305346371813976,0.461184026823646,0.5052684106069643,0.514641354742073
day8,0.6556501017974152,0.5380685784183081,0.4581516279318614,0.7164164450285271,0.7793427107342122,0.8691791153020179,0.7210192313465489,0.4467911990393587,0.1537083738123995,0.9065488006172776,0.8306614347784614,0.5378727601944605,0.4628818432353653,0.4896346535761574,0.5289549855583722
day9,0.6718694735200275,0.5780982698586099,0.4942340402942201,0.7559320879892313,0.7740259365483841,0.8760388086623816,0.7449000005015894,0.4674881766636063,0.1781799020690442,0.927329598849074,0.851707896341157,0.5467195503539084,0.5093698306883792,0.4976795628676744,0.5098428595184727
day10,0.6684879941934372,0.5565910909800096,0.4830909104745027,0.7414826952808999,0.7672231015824893,0.8586102083000411,0.7296661746454981,0.4745545883566179,0.1661545636451848,0.9257963695182604,0.8620004808375731,0.5345725457806186,0.5030211351506398,0.5171723814074182,0.5078039646661543
